feature,region
CerebellumCortex,cerebellar
AnteriorCingulate,neocortical
MiddleFrontal,neocortical
Cuneus,neocortical
Entorhinal,neocortical
Entorhinal,limbic
Fusiform,neocortical
InferiorParietal,neocortical
InferiorTemporal,neocortical
IsthmusCingulate,neocortical
LateralOccipital,neocortical
LateralOrbitofrontal,neocortical
LateralOrbitofrontal,limbic
Lingual,neocortical
MedialOrbitofrontal,neocortical
MedialOrbitofrontal,limbic
MiddleTemporal,neocortical
Parahippocampal,neocortical
Paracentral,neocortical
Parsopercularis,neocortical
Parsorbitalis,neocortical
Parstriangularis,neocortical
Pericalcarine,neocortical
Postcentral,neocortical
PosteriorCingulate,neocortical
Precentral,neocortical
Precuneus,neocortical
RostralAnteriorCingulate,neocortical
RostralAnteriorCingulate,limbic
RostralMiddleFrontal,neocortical
SuperiorFrontal,neocortical
SuperiorParietal,neocortical
SuperiorTemporal,neocortical
Supramarginal,neocortical
FrontalPole,neocortical
TemporalPole,neocortical
TransverseTemporal,neocortical
Thalamus,subcortical
Thalamus,limbic
Caudate,subcortical
Putamen,subcortical
Pallidum,subcortical
Hippocampus,subcortical
Hippocampus,limbic
Amygdala,subcortical
Amygdala,limbic
Insula,subcortical
Operculum,subcortical
